Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Ribosome	10/158	6.689775e-09	9.298788e-07	0	0	1.482883e+01	2.791184e+02	RPS25;RPL7A;RPS29;RPL31;RPL22;RPLP2;RPS20;RPS21;RPS23;RPL7
KEGG_2021_Human	Coronavirus disease	11/232	2.309648e-08	1.508483e-06	0	0	1.100559e+01	1.935178e+02	RPS25;RPL7A;JUN;RPS29;RPL31;RPL22;RPLP2;RPS20;RPS21;RPS23;RPL7
KEGG_2021_Human	Primary immunodeficiency	6/38	3.255718e-08	1.508483e-06	0	0	3.963032e+01	6.832373e+02	CD40LG;LCK;CD3E;IL2RG;IL7R;CD3D
KEGG_2021_Human	Th1 and Th2 cell differentiation	5/92	9.846889e-05	3.421794e-03	0	0	1.198609e+01	1.105809e+02	JUN;LCK;CD3E;IL2RG;CD3D
KEGG_2021_Human	T cell receptor signaling pathway	5/104	1.756384e-04	4.648487e-03	0	0	1.052685e+01	9.102653e+01	JUN;CD40LG;LCK;CD3E;CD3D
KEGG_2021_Human	Th17 cell differentiation	5/107	2.006541e-04	4.648487e-03	0	0	1.021569e+01	8.697562e+01	JUN;LCK;IL2RG;CD3E;CD3D
KEGG_2021_Human	Osteoclast differentiation	5/127	4.435584e-04	8.807802e-03	0	0	8.532355e+00	6.587560e+01	CYLD;SOCS3;JUN;LCK;JUNB
KEGG_2021_Human	PD-L1 expression and PD-1 checkpoint pathway in cancer	4/89	1.037518e-03	1.802687e-02	0	0	9.713235e+00	6.673890e+01	JUN;LCK;CD3E;CD3D
KEGG_2021_Human	Hematopoietic cell lineage	4/99	1.539882e-03	2.378262e-02	0	0	8.686404e+00	5.625358e+01	CD7;IL7R;CD3E;CD3D
KEGG_2021_Human	NF-kappa B signaling pathway	4/104	1.845537e-03	2.565297e-02	0	0	8.250000e+00	5.193362e+01	CYLD;CD40LG;LCK;LTB
KEGG_2021_Human	Cytokine-cytokine receptor interaction	6/295	3.663509e-03	4.629343e-02	0	0	4.331370e+00	2.429610e+01	IL32;CD40LG;CCR7;LTB;IL2RG;IL7R
KEGG_2021_Human	Human immunodeficiency virus 1 infection	5/212	4.256796e-03	4.930789e-02	0	0	5.007119e+00	2.733506e+01	JUN;RAC2;CD3E;CD3D;SKP1
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	5/219	4.880217e-03	5.197128e-02	0	0	4.841613e+00	2.576981e+01	JUN;LCK;IL2RG;CD3E;CD3D
KEGG_2021_Human	Measles	4/139	5.234517e-03	5.197128e-02	0	0	6.100309e+00	3.204175e+01	JUN;IL2RG;CD3E;CD3D
KEGG_2021_Human	Chagas disease	3/102	1.457218e-02	1.350355e-01	0	0	6.185879e+00	2.615786e+01	JUN;CD3E;CD3D
KEGG_2021_Human	TNF signaling pathway	3/112	1.866650e-02	1.510019e-01	0	0	5.615530e+00	2.235556e+01	SOCS3;JUN;JUNB
KEGG_2021_Human	Epstein-Barr virus infection	4/202	1.867243e-02	1.510019e-01	0	0	4.146044e+00	1.650419e+01	JUN;VIM;CD3E;CD3D
KEGG_2021_Human	Leukocyte transendothelial migration	3/114	1.955421e-02	1.510019e-01	0	0	5.513792e+00	2.169437e+01	RAC2;RHOH;MYL12A
KEGG_2021_Human	Yersinia infection	3/137	3.141944e-02	2.298580e-01	0	0	4.562086e+00	1.578632e+01	JUN;LCK;RAC2
KEGG_2021_Human	Viral myocarditis	2/60	3.631037e-02	2.408252e-01	0	0	6.981703e+00	2.314890e+01	CD40LG;RAC2
KEGG_2021_Human	Salmonella infection	4/249	3.638366e-02	2.408252e-01	0	0	3.342687e+00	1.107645e+01	JUN;RHOH;MYL12A;SKP1
KEGG_2021_Human	Inflammatory bowel disease	2/65	4.199313e-02	2.587279e-01	0	0	6.425980e+00	2.037196e+01	JUN;IL2RG
